boro_code,boro_ct201,boro_name,cdeligibil,ct2010,ctlabel,ntacode,ntaname,puma,shape_area,shape_leng,area,overlabel,overmodzct,overpop_es,overzcta,overarea,overmodztc,piecearea,pieceofct,perc_ct,aug6_COVID_CASE_RATE,aug6_COVID_DEATH_RATE,aug6_PERCENT_POSITIVE,may18_COVID_CASE_RATE,may18_COVID_DEATH_RATE,may18_PERCENT_POSITIVE
"1","1003002",Manhattan,E,"003002","30.02",MN22,East Village,"3809",841097.7841509999707341194152832031250,4045.1662923099997897224966436624527,78140.848365197263774,"10009","10009",57925.0000000000000000000000000000000,"10009","1571306",Alphabet City/East Village/Stuyvesant Town-Cooper Village,78094.5103700000,0.9994069940,99.9406993900,"1371.96","117.45","6.89","1118.34","107.24","25.85"
"1","1003602",Manhattan,I,"003602","36.02",MN22,East Village,"3809",961070.4806259999750182032585144042969,4076.2498779399998056760523468255997,89286.645196454221150,"10003","10003",54682.0000000000000000000000000000000,"10003","1498072",East Village/Gramercy/Greenwich Village,89265.3783900000,0.9997618140,99.9761814200,"959.08","63.2","5.08","799.23","55.76","22.14"
"1","1003200",Manhattan,I,"003200","32",MN22,East Village,"3809",2335526.7167299999855458736419677734375,6358.4353889499998331302776932716370,216978.693309134396259,"10009","10009",57925.0000000000000000000000000000000,"10009","1571306",Alphabet City/East Village/Stuyvesant Town-Cooper Village,216936.6403000000,0.9998061880,99.9806188300,"1371.96","117.45","6.89","1118.34","107.24","25.85"
"1","1001800",Manhattan,I,"001800","18",MN27,Chinatown,"3809",2399274.6907500000670552253723144531250,6391.9218838300002971664071083068848,222901.050293372158194,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,222878.8900000000,0.9999005820,99.9900582300,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1001600",Manhattan,I,"001600","16",MN27,Chinatown,"3809",2233319.5936500001698732376098632812500,6391.7883329599999342462979257106781,207483.056996098195668,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,207428.3448000000,0.9997363050,99.9736305200,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1001600",Manhattan,I,"001600","16",MN27,Chinatown,"3809",2233319.5936500001698732376098632812500,6391.7883329599999342462979257106781,207483.056996098195668,"10013","10013",28709.0000000000000000000000000000000,"10013","1403711",Hudson Square/Little Italy/SoHo/TriBeCa,54.6873611300,0.0002635750,0.0263575060,"1071.27","72.34","4.91","850.81","62","22.46"
"1","1001600",Manhattan,I,"001600","16",MN27,Chinatown,"3809",2233319.5936500001698732376098632812500,6391.7883329599999342462979257106781,207483.056996098195668,"10038","10038",22800.0000000000000000000000000000000,"10038","715413",Chinatown/Financial District,0.0075517220,0.0000000360,0.0000036390,"1256.35","127","7.13","1056.79","113.39","26.81"
"1","1000800",Manhattan,E,"000800","8",MN27,Chinatown,"3809",2366871.3333499999716877937316894531250,6362.7857624099997337907552719116211,219890.579493061377434,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,186478.4099000000,0.8480509270,84.8050927500,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1000800",Manhattan,E,"000800","8",MN27,Chinatown,"3809",2366871.3333499999716877937316894531250,6362.7857624099997337907552719116211,219890.579493061377434,"10038","10038",22800.0000000000000000000000000000000,"10038","715413",Chinatown/Financial District,33395.4566200000,0.1518730660,15.1873066500,"1256.35","127","7.13","1056.79","113.39","26.81"
"1","1000600",Manhattan,E,"000600","6",MN28,Lower East Side,"3809",2583417.6758699999190866947174072265625,6970.6346985099999074009247124195099,240008.637057514861226,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,239983.0078000000,0.9998932150,99.9893215200,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1001401",Manhattan,I,"001401","14.01",MN28,Lower East Side,"3809",1006116.7143800000194460153579711914063,5075.3322686900000917376019060611725,93471.819699304876849,"10002","10002",74993.0000000000000000000000000000000,"10002","2280934",Chinatown/Lower East Side,93471.8196900000,0.9999999990,99.9999999900,"1637.67","208.45","9.6","1270.27","179.79","33.8"
"1","1002700",Manhattan,I,"002700","27",MN27,Chinatown,"3809",639299.1911850000033155083656311035156,3685.3159820999999283230863511562347,59395.004924648601445,"10038","10038",22800.0000000000000000000000000000000,"10038","715413",Chinatown/Financial District,59374.0088100000,0.9996465000,99.9646500300,"1256.35","127","7.13","1056.79","113.39","26.81"
