"","ctlabel","wt_aug6_CASE_RATE","wt_aug6_DEATH_RATE","wt_aug6_POSITIVE","wt_may18_CASE_RATE","wt_may18_DEATH_RATE","wt_may18_POSITIVE"
"1",2.01,1637.67,208.45,9.6,1270.27,179.79,33.8
"2",2.02,1637.66822858271,208.44971614052,9.59997728258737,1270.26880382005,179.789702455984,33.7999405561036
"3",6,1637.65410941427,208.446605768888,9.59989706874344,1270.26110373901,179.787232941119,33.7997087087112
"4",7,1061.56793750525,44.1998697913533,5.65229423933285,765.007367883663,32.2067289742318,19.2878925360794
"5",8,1579.72883648549,196.073760179753,9.22468615891946,1237.83194380815,169.700591478645,32.7378770246344
"6",9,1065.08432648781,27.1847532750802,5.64738732951494,788.388757900183,26.4941027699885,21.4560873335961
"7",10.01,1637.67,208.45,9.6,1270.27,179.79,33.8
"8",10.02,1637.66079750024,208.446848340377,9.59990614288375,1270.26473811377,179.787487330707,33.7997246627033
"9",12,1637.67,208.45,9.6,1270.27,179.79,33.8
"10",13,1072.69523831737,7.06506830626279,5.23569483055846,678.325869640535,7.06453107795976,17.5273543209339
"11",14.01,1637.67,208.45,9.6,1270.27,179.79,33.8
"12",14.02,1637.67,208.45,9.6,1270.27,179.79,33.8
"13",15.01,1256.32514783075,126.994793406749,7.12977824807742,1056.76128542291,113.385328897057,26.8092516663093
"14",15.02,1247.88156327314,122.779672177635,7.0646118890407,1044.69582150161,109.619249461442,26.5504123271249
"15",16,1637.52069719734,208.414121831627,9.59876374298226,1270.15943302758,179.758951074799,33.7970108042043
"16",18,1637.61140581033,208.436143432189,9.59953097400119,1270.2264336867,179.777984626766,33.7988651773017
"17",20,1426.50825676224,136.131612906418,7.44634253820211,1149.53008185574,122.133967212754,27.4820749736925
"18",21,867.141594035169,39.380454609495,4.20474792245195,626.53053993652,38.5154410867548,16.704414372126
"19",22.01,1637.62966179908,208.436185027723,9.59958858708933,1270.24693506881,179.778985975399,33.7987930875868
"20",22.02,1372.05222514898,117.481585143792,6.89094061252393,1118.39273330655,107.265181342661,25.8527593614632
"21",24,1371.98065463994,117.450469666346,6.89007453255611,1118.35921582788,107.240272321936,25.850099228418
"22",25,1256.36885703532,127.004027865118,7.13012214643143,1056.80055701222,113.39328361257,26.8103456694558
"23",26.01,1371.96,117.45,6.89,1118.34,107.24,25.85
"24",26.02,1371.96,117.45,6.89,1118.34,107.24,25.85
"25",27,1256.42871111309,127.015314262136,7.13040869849903,1056.82392602208,113.401808002481,26.8113480310726
"26",28,1371.96,117.45,6.89,1118.34,107.24,25.85
"27",29,1068.53207843399,78.6435780501562,5.33095738998349,848.508472339451,69.8798898390347,22.1462466953236
"28",30.01,1637.60433283113,208.427569141498,9.59933187305502,1270.23239628338,179.772111389735,33.7980410749153
