ctlabel,EP_POV,EP_UNEMP,EP_NOHSDP,EP_AGE65,EP_DISABL,EP_SNGPNT,EP_MINRTY,EP_LIMENG,EP_MUNIT,EP_MOBILE,EP_CROWD,EP_NOVEH,EP_GROUPQ,EP_UNINSUR,ARTHRITIS_CrudePrev,BPHIGH_CrudePrev,CANCER_CrudePrev,CASTHMA_CrudePrev,CHD_CrudePrev,COPD_CrudePrev,CSMOKING_CrudePrev,DIABETES_CrudePrev,OBESITY_CrudePrev,STROKE_CrudePrev,occupation_PERC_Management,occupation_PERC_Service,occupation_PERC_Sales,occupation_PERC_Natural,occupation_PERC_Production,PERC_MALE,landusejoin_sum1,landusejoin_sum23,landusejoin_sum4,landusejoin_sum5,landusejoin_sum6,landusejoin_sum7,landusejoin_sum8,landusejoin_sum9,landusejoin_sum10,landusejoin_sum11,maypercpos_Predicted,maypercpos_StdError,maycaserate_Predicted,maycaserate_StdError,maydeathrate_Predicted,maydeathrate_StdError,augpercpos_Predicted,augpercpos_StdError,augcaserate_Predicted,augcaserate_StdError,augdeathrate_Predicted,augdeathrate_StdError,wt_aug6_CASE_RATE,wt_aug6_DEATH_RATE,wt_aug6_POSITIVE,wt_may18_CASE_RATE,wt_may18_DEATH_RATE,wt_may18_POSITIVE
14.01,7.2,1.8,5,20,12.5,1.1,31.4,2.3,97.8,0.5,2.9,62.6,0,0.6,20.3,25.8,8.4,7.8,5.4,4.3,9.7,7.6,14.5,2.5,77.0668,6.795,13.137,1.3024,1.6988,40.6191,0,49.98240271,0,1.820416919,0,0,1.144005608,20.00535503,0,0.562120415,33.88519444,0.16883351,1247.768572,12.88980089,178.698743,1.975264318,9.544719945,0.080234295,1611.639057,14.21513756,206.8791878,1.944564407,1637.67,208.45,9.6,1270.27,179.79,33.8
14.02,25.8,2.2,26.5,20.8,17,3.8,68.8,26,90,0,1.3,90.9,0.2,5.3,17.4,27.3,5.3,8.5,6.4,5.3,16.4,12.3,17.1,3.4,47.5,29.3243,17.7703,0.6081,4.7973,41.4483,0,14.12480939,28.30922442,4.636373032,0,4.470139308,9.504681574,0,2.345164042,1.275446259,31.5441817,0.123218478,1110.579949,8.774930829,146.0162327,1.514353823,8.636982953,0.054620734,1440.494549,9.722782673,169.4307409,1.430329349,1637.67,208.45,9.6,1270.27,179.79,33.8
15.01,11.3,4.4,10,20.8,12,1.8,41.3,12.6,94.5,0,6,72.9,7.4,2.7,18.6,25.1,7.3,8,5.3,4.3,10.3,8.2,13.3,2.6,71.6323,9.271,15.3988,1.1358,2.5621,47.5618,0.154539879,16.11889274,10.24306978,17.33920839,0,6.358849803,7.921485851,0.971493191,2.422810275,0.253267187,23.56144934,0.004794231,940.1369628,0.297730428,83.28382592,0.06363896,6.556849065,0.001853263,1179.946333,0.333443784,98.01472517,0.05638495,1256.325148,126.9947934,7.129778248,1056.761285,113.3853289,26.80925167
15.02,9.5,4.2,2.8,2.4,2.3,1.7,30.3,1.4,94.4,0.6,9.6,83.4,7.1,4.4,5.6,8.6,2.1,8,1,1.5,8.9,1.9,10.7,0.6,73.5305,5.1657,19.8611,0.9797,0.4631,52.4476,0,6.158565124,13.88048434,27.28198664,0.302627996,24.36872274,1.017220254,0,1.436662047,0.848050692,20.35909102,0.037097485,828.9131279,2.787275137,49.43748311,0.439683943,6.058503711,0.017349768,1106.38003,3.076953517,67.17662654,0.428114883,1247.881563,122.7796722,7.064611889,1044.695822,109.6192495,26.55041233
16,22.6,7.7,32.2,19.8,11.1,1.3,80.9,35.9,78.4,0,12.9,87.3,0,7.2,16.9,28.8,5,7.3,6.6,5.1,16.8,14.4,11.1,3.7,52.287,24.1852,17.4473,2.0816,3.9989,50.1893,0.394424302,4.326635129,32.71719761,10.94151415,0.713290795,1.177843395,24.64963705,6.466673409,0.892044719,5.763480767,29.94329604,0.32280117,1083.058563,24.3829576,130.3401858,3.808707818,7.803327402,0.151774991,1342.782373,26.90823396,150.7935431,3.722715398,1637.520697,208.4141218,9.598763743,1270.159433,179.7589511,33.7970108
18,25.9,4.9,37.9,20.1,7.4,3.2,73.4,32.4,86,0,13.1,86.6,8.3,6.9,14.4,24.2,4.3,7.8,5,4.4,16.5,10.8,13.1,2.7,52.3644,22.9017,17.331,2.9958,4.407,56.5154,0.11993282,8.335945472,34.96608873,8.744423049,1.281288573,0,6.885272837,6.622876208,1.316364793,1.823684606,28.60781159,0.276039006,958.6703738,20.74345247,112.2345357,3.270217401,7.423810714,0.129120403,1229.673841,22.89932091,131.4928911,3.185407341,1637.611406,208.4361434,9.599530974,1270.226434,179.7779846,33.79886518
20,44.3,7.5,32.1,17.9,17.2,20.4,98.3,23.5,97.7,0.8,6,90.1,0,4.9,23,35.2,5.5,10,8.7,8.2,21,18.9,26.7,5,30.2128,33.7021,21.1064,6.2979,8.6809,38.3224,0,45.4564766,0,0,0,0,2.559514677,38.828482,0,0,29.45088091,0.196105922,1380.946358,12.67850621,145.8663203,2.530916409,8.633436818,0.078919063,1695.348762,14.15901749,160.9631768,2.29621383,1426.508257,136.1316129,7.446342538,1149.530082,122.1339672,27.48207497
21,2.1,0.8,3.6,6,1.5,1.5,21.9,1.7,87.1,0,6,73.8,1.9,1.3,9.7,13.2,3.7,7.6,1.8,2.1,9.6,3.2,12.9,1,73.4157,3.8391,20.9571,1.5777,0.2104,54.3324,0.172285299,5.787616695,27.76153102,21.08811744,0,0.202324917,3.803579786,0.161144523,0.418516073,0.076841651,20.1693433,0.042621347,810.8285841,3.213978917,96.57529263,0.50366696,5.892989854,0.020005843,1085.341578,3.547193739,107.8813461,0.49164241,867.141594,39.38045461,4.204747922,626.5305399,38.51544109,16.70441437
22.01,38,7,19.8,16.4,18.3,8.6,82.2,20.8,92.7,0,6,80.7,1.7,9.1,18.5,29.1,5.3,8.7,6.3,5.6,16.8,13.2,20.1,3.5,39.3881,25.3537,24.3977,3.327,7.5335,44.7381,0,32.40446929,16.69194008,0.536765055,0.292339825,0.447463859,12.61731332,12.36633901,0.130308654,0.282638754,31.38016178,0.236500142,1225.852061,17.91392186,159.0778161,2.784453584,8.760931916,0.11150761,1559.773405,19.76568701,181.4007757,2.726542167,1637.629662,208.436185,9.599588587,1270.246935,179.778986,33.79879309
22.02,25.5,3.8,7.1,11.9,8.3,4.2,42.9,9.9,77.7,0,6,86,6.2,12.7,11.4,18.2,3.7,8.3,2.9,2.9,12.1,6.1,16.3,1.6,67.7225,13.4992,18.7029,0,0.0754,51.4466,0,25.32026623,21.73933534,0.362003782,0,0,4.873073939,3.30449987,1.059661725,3.77128962,29.05790122,0.107689449,1100.859616,7.163988109,125.1259615,1.37595981,7.909016241,0.044593205,1398.83793,7.979277552,141.756509,1.258366786,1372.052225,117.4815851,6.890940613,1118.392733,107.2651813,25.85275936
24,51.9,9,39,16.6,23.7,13.3,98.3,19.1,98.8,0,1,87,0,10.3,23.8,35.6,5.6,10.7,9,9.4,23.6,18.7,27.4,5.3,28.2027,37.5717,23.4226,0,10.8031,43.4835,0,34.30840154,17.03717364,0,0,8.340661111,0,56.28031299,0,1.331378201,27.21575776,0.143921037,1288.647941,9.124124929,122.8599859,1.877473244,7.67217694,0.05679434,1573.863589,10.20581523,134.0700929,1.688251936,1371.980655,117.4504697,6.890074533,1118.359216,107.2402723,25.85009923
25,43.8,14.1,48.6,28.6,19.5,6.1,99.1,32.2,96,0.4,7.8,87.7,3.4,4.9,26,40.3,6.2,9.9,11.4,10.1,22.8,22.8,22.4,6.7,23.0006,39.9256,19.5908,3.7818,13.7012,39.7603,0,0,35.89852857,0,0,1.898111358,7.181425533,0,0,2.660738598,32.01351413,0.04776837,1262.027385,3.397637494,159.2213516,0.588979311,8.41454112,0.02114905,1437.184228,3.76450897,177.4632991,0.554709084,1256.368857,127.0040279,7.130122146,1056.800557,113.3932836,26.81034567
