ctlabel,EP_NOHSDP,EP_MINRTY,EP_LIMENG,CSMOKING_CrudePrev,OBESITY_CrudePrev,occ_Management,SUMF2
36.01,0.008520999,0.155637132,-0.052584538,0.081537123,0.189247772,-0.154087385,0.228271103
36.02,0.002849929,0.080550817,-0.01134719,0.074124658,0.181928798,-0.25698079,0.071126222
37,0.001151486,0.040477798,-0.008302822,0.04679119,0.148470628,-0.257361693,-0.028773412
38,0.003224162,0.079134094,-0.01162395,0.053277098,0.141151653,-0.233383193,0.031779864
39,0.001036338,0.03804913,-0.001660564,0.042158399,0.150561764,-0.246885127,-0.016740061
40,0.000949976,0.062335808,-0.003321129,0.045864632,0.125468136,-0.243098299,-0.011800875
41,0.009557337,0.135195844,-0.081644414,0.066248913,0.118149162,-0.183872053,0.063634788
42,0.00080604,0.073467203,-0.002490847,0.05188726,0.11919473,-0.194384697,0.048479689
43,0.002677206,0.081562762,-0.024631705,0.051423981,0.142197221,-0.25228264,0.000946826
44,0.000662105,0.058692806,-0.002767607,0.040768562,0.134878247,-0.240719217,-0.008485105
45,0.003598395,0.078324538,-0.024354944,0.055593493,0.149516196,-0.202250447,0.060427231
47,0,0.050597247,0,0.040768562,0.145333925,-0.251144441,-0.014444707
48,0.00040302,0.059299973,-0.001660564,0.048644306,0.139060518,-0.24764277,-0.001895516
49,0.000230297,0.045132744,-0.005535215,0.047254469,0.14742506,-0.256487836,-0.02198048
50,0.00020151,0.044323188,-0.001937325,0.039842003,0.136969382,-0.271180699,-0.05178194
52,0,0.054240249,-0.004151411,0.04169512,0.127559272,-0.234565449,-0.015222219
54,0.000978763,0.049180524,-0.001937325,0.04169512,0.143242789,-0.282606053,-0.049446182
55.01,0.000575743,0.069217034,-0.001107043,0.034745933,0.132787111,-0.314017711,-0.077798933
55.02,0.001352997,0.042096909,-0.001107043,0.050034144,0.152652899,-0.251617274,-0.006587368
56,0.002015101,0.058895195,-0.005811975,0.056520051,0.163108577,-0.25870977,0.01601718
57,0.000662105,0.038453908,0,0.033819375,0.129650408,-0.292001659,-0.089415864
58,0.000719679,0.07407437,-0.012454233,0.040768562,0.123377001,-0.24278088,-0.016295502
59,8.64E-05,0.038453908,-0.001660564,0.039842003,0.133832679,-0.255703828,-0.045149441
60,0.000316659,0.048573357,-0.004151411,0.033356096,0.132787111,-0.273353719,-0.062471907
61,0.00020151,0.052621137,-0.002214086,0.044474795,0.125468136,-0.255595247,-0.035043755
62,0.004836243,0.116171279,-0.014668318,0.063005959,0.169381984,-0.224288354,0.114438792
63,0.000143936,0.035215684,-0.001107043,0.039842003,0.145333925,-0.279509916,-0.060081411
64,0.000863615,0.054645027,-0.003597889,0.044011515,0.136969382,-0.255262217,-0.022370567
65,0.000921189,0.048573357,-0.003044368,0.045864632,0.12860484,-0.228526854,-0.007607204
66,0.003281736,0.083789041,-0.030166919,0.05698333,0.153698467,-0.260165735,0.00741992
67,0.000143936,0.030560737,0,0.041231841,0.136969382,-0.244785651,-0.035879755
68,0.000143936,0.075288703,-0.001383804,0.044938074,0.130695975,-0.241917431,0.007765454
69,0,0.049585302,-0.001383804,0.044011515,0.141151653,-0.266447512,-0.033082844
70,0.000259084,0.066788366,-0.005535215,0.04169512,0.129650408,-0.291520847,-0.058663084
71,0.000719679,0.043108854,0,0.043548236,0.140106086,-0.267353977,-0.039871122
72,0.000892402,0.056871306,-0.019373251,0.045864632,0.126513704,-0.242337187,-0.031568395
73,0.000374233,0.032787016,0,0.039378724,0.142197221,-0.274522099,-0.059784905
74,0.000345446,0.055252194,-0.005258454,0.044011515,0.126513704,-0.257794978,-0.036930573
75,0.000172723,0.034608517,-0.000276761,0.043084957,0.148470628,-0.27718946,-0.051129396
76,0.001583294,0.118599947,-0.014668318,0.043548236,0.11919473,-0.271866879,-0.003608991
77,0.000431807,0.035215684,-0.000830282,0.041231841,0.146379492,-0.240002856,-0.017574314
79,0.000546956,0.022465178,0,0.044011515,0.155789603,-0.243448675,-0.020635423
81,0.001410571,0.056871306,-0.006919018,0.046327911,0.152652899,-0.257626035,-0.007282367
83,0.003022652,0.115361723,-0.020757054,0.066712192,0.186111069,-0.195310243,0.155140338
87,0.001036338,0.055859361,-0.008026061,0.044938074,0.144288357,-0.238024103,7.20E-05
89,0.002101463,0.066585977,-0.006088736,0.058836447,0.170427552,-0.252006502,0.0398562
91,0.00172723,0.062133419,-0.004151411,0.049570865,0.154744035,-0.245637306,0.018386832
93,0.002389334,0.090670267,-0.023247901,0.054203656,0.179837662,-0.191653852,0.112199166
95,0.001036338,0.05808564,-0.002767607,0.05188726,0.135923814,-0.235260996,0.008904449
97,0.003425672,0.100789716,-0.023247901,0.059299726,0.192384476,-0.191931377,0.140720312
99,0.001583294,0.07994365,-0.013561276,0.049107586,0.157880738,-0.248853472,0.02610052
101,0.001554507,0.106861386,-0.019650012,0.049570865,0.150561764,-0.264734489,0.02416402
103,0.000460595,0.094515657,-0.002490847,0.043084957,0.12860484,-0.248650879,0.015524323
317.03,0.000633318,0.066788366,-0.003044368,0.042621678,0.136969382,-0.260628855,-0.016660479
317.04,0.00040302,0.062335808,-0.003044368,0.03659905,0.130695975,-0.264663026,-0.037673541
