ctlabel,EP_NOHSDP,EP_MINRTY,EP_LIMENG,CSMOKING_CrudePrev,OBESITY_CrudePrev,occ_Management,SUMF2
2.01,0.014911749,0.193281483,-0.100187383,0.104701079,0.2143414,-0.085993524,0.341054803
2.02,0.008319489,0.164744636,-0.047326084,0.07783089,0.212250264,-0.122644853,0.293174343
6,0.015948087,0.192876705,-0.137826842,0.100994846,0.174609823,-0.102845184,0.243757435
7,0.000518169,0.06193103,0,0.044474795,0.121285865,-0.248017082,-0.019807223
8,0.016034448,0.185793091,-0.145299381,0.093119101,0.123377001,-0.098340955,0.174683305
9,0.000259084,0.071240924,-0.001660564,0.04169512,0.126513704,-0.26092546,-0.022877192
10.01,0.000978763,0.061121474,-0.005258454,0.045401353,0.157880738,-0.240502054,0.019621821
10.02,0.010507313,0.198138819,-0.066145814,0.08848631,0.258255247,-0.105598925,0.383642951
12,0.005987729,0.096741936,-0.045942281,0.065322354,0.181928798,-0.201807795,0.102230742
13,0.000115149,0.078122149,-0.004981693,0.035209212,0.112921323,-0.28245168,-0.06106554
14.01,0.001439358,0.063550142,-0.006365497,0.044938074,0.151607331,-0.267349468,-0.012180059
14.02,0.007628597,0.139243624,-0.071957789,0.075977774,0.178792094,-0.16478042,0.16490388
15.01,0.002878716,0.083586652,-0.034871851,0.047717748,0.139060518,-0.248496853,-0.01012507
15.02,0.00080604,0.061323863,-0.00387465,0.041231841,0.111875755,-0.255081825,-0.043718976
16,0.009269466,0.163732691,-0.099357101,0.07783089,0.116058026,-0.181386818,0.086147155
18,0.010910334,0.148553517,-0.089670475,0.076441053,0.136969382,-0.181655323,0.101548488
20,0.009240678,0.198948375,-0.065038771,0.097288613,0.279166603,-0.104810061,0.414795438
21,0.001036338,0.044323188,-0.004704932,0.044474795,0.134878247,-0.254683577,-0.034675942
22.01,0.005699858,0.166363748,-0.057566231,0.07783089,0.210159128,-0.136639741,0.265847653
22.02,0.002043888,0.086824876,-0.027399312,0.056056772,0.170427552,-0.234933516,0.05302026
24,0.011226992,0.198948375,-0.052861299,0.10933387,0.286485578,-0.0978369,0.455296616
25,0.01399056,0.200567487,-0.089116954,0.105627637,0.234207188,-0.079790496,0.385485422
26.01,0.006851344,0.153006075,-0.03431833,0.080147286,0.211204696,-0.146113748,0.270777323
26.02,0.003540821,0.081562762,-0.030166919,0.055130214,0.161017442,-0.237221709,0.03386261
27,0.007081641,0.167780471,-0.07998385,0.052813818,0.100374509,-0.167122731,0.080943859
28,0.00446201,0.139648402,-0.024631705,0.076904332,0.2143414,-0.160555104,0.250169335
29,0.013443604,0.178709476,-0.12205148,0.090802705,0.153698467,-0.148504278,0.166098494
30.01,0.002159037,0.089253544,-0.018266208,0.05698333,0.148470628,-0.192792051,0.08580828
30.02,0.003512034,0.08803921,-0.021310576,0.06254268,0.172518687,-0.223309038,0.081992996
31,0.003943841,0.089658322,-0.016605644,0.053277098,0.115012458,-0.20482345,0.040462625
32,0.000431807,0.049585302,-0.004428172,0.047717748,0.144288357,-0.230478894,0.007116148
33,0.000633318,0.049180524,-0.002767607,0.043548236,0.145333925,-0.229199852,0.006728544
34,0.003454459,0.082979485,-0.010516908,0.066248913,0.170427552,-0.247551187,0.065042314
