ctlabel,EP_NOHSDP,EP_MINRTY,500_Cities_CTTract_BPHIGH_CrudePrev,500_Cities_CTTract_CHD_CrudePrev,500_Cities_CTTract_COPD_CrudePrev,500_Cities_CTTract_DIABETES_CrudePrev,500_Cities_CTTract_STROKE_CrudePrev,ACSST5Y2018.S2401_occupation_PERC_Management,ACSST5Y2018.S2401_occupation_PERC_Service,Factor2
2.01,0.3891216,0.852815,0,0,0,0,0,-0.19563242,0.227898478,1.274202657
2.02,0.2170968,0.726902,0,0,0,0,0,-0.279012979,0.236757466,0.901743287
6,0.4161648,0.851029,0,0,0,0,0,-0.233969389,0.249079819,1.28230423
7,0.0135216,0.273258,0,0,0,0,0,-0.564230648,0.02291471,-0.254536338
8,0.4184184,0.819774,0,0,0,0,0,-0.223722416,0.211526879,1.225996863
9,0.0067608,0.314336,0,0,0,0,0,-0.59359678,0.024248277,-0.248251703
10.01,0.0255408,0.269686,0,0,0,0,0,-0.547134208,0.087815898,-0.16409151
10.02,0.274188,0.874247,0,0,0,0,0,-0.240234058,0.269178395,1.177379337
12,0.1562496,0.426854,0,0,0,0,0,-0.459106051,0.109833248,0.233830797
13,0.0030048,0.344698,0,0,0,0,0,-0.642568218,0.022706382,-0.272159037
14.01,0.03756,0.280402,0,0,0,0,0,-0.608211186,0.04581189,-0.244437296
14.02,0.199068,0.614384,0,0,0,0,0,-0.37487,0.197704431,0.636286431
15.01,0.07512,0.368809,0,0,0,0,0,-0.565322112,0.062505082,-0.05888803
15.02,0.0210336,0.270579,0,0,0,0,0,-0.580302706,0.034827149,-0.253862957
16,0.2418864,0.722437,0,0,0,0,0,-0.412649004,0.163056618,0.714731014
18,0.2847048,0.655462,0,0,0,0,0,-0.413259845,0.154403261,0.681310217
20,0.2411352,0.877819,0,0,0,0,0,-0.238439418,0.227219558,1.107734341
21,0.0270432,0.195567,0,0,0,0,0,-0.579396704,0.025883212,-0.330903292
22.01,0.1487376,0.734046,0,0,0,0,0,-0.310850885,0.170934645,0.74286736
22.02,0.0533352,0.383097,0,0,0,0,0,-0.53446597,0.091011606,-0.007022164
24,0.292968,0.877819,0,0,0,0,0,-0.222575708,0.253308401,1.201519693
25,0.3650832,0.884963,0,0,0,0,0,-0.181520735,0.269178395,1.33770386
26.01,0.1787856,0.675108,0,0,0,0,0,-0.332403937,0.124035945,0.645525608
26.02,0.0923976,0.359879,0,0,0,0,0,-0.539671533,0.069668457,-0.017726476
27,0.1847952,0.740297,0,0,0,0,0,-0.380198678,0.119092036,0.663985558
28,0.116436,0.61617,0,0,0,0,0,-0.365257544,0.123149372,0.490497828
29,0.3508104,0.788519,0,0,0,0,0,-0.337842314,0.171848186,0.973335272
30.01,0.05634,0.393813,0,0,0,0,0,-0.438595532,0.075168581,0.086726048
30.02,0.0916464,0.388455,0,0,0,0,0,-0.508020667,0.094314512,0.066395245
31,0.1029144,0.395599,0,0,0,0,0,-0.465966567,0.062627786,0.09517462
32,0.011268,0.218785,0,0,0,0,0,-0.524331853,0.087738365,-0.206540487
33,0.0165264,0.216999,0,0,0,0,0,-0.521422072,0.025657355,-0.262239317
34,0.090144,0.36613,0,0,0,0,0,-0.563170752,0.052011833,-0.054884919
36.01,0.2223552,0.686717,0,0,0,0,0,-0.350543699,0.124505188,0.683033689
36.02,0.0743688,0.355414,0,0,0,0,0,-0.584622787,0.03887572,-0.115964266
37,0.030048,0.1786,0,0,0,0,0,-0.585489328,0.027584893,-0.349256435
38,0.0841344,0.349163,0,0,0,0,0,-0.530939035,0.097109745,-0.00053189
39,0.0270432,0.167884,0,0,0,0,0,-0.561655488,0.009285082,-0.357443206
40,0.0247896,0.275044,0,0,0,0,0,-0.553040581,0.059089585,-0.194117396
41,0.2493984,0.596524,0,0,0,0,0,-0.418302833,0.128220704,0.555840272
42,0.0210336,0.324159,0,0,0,0,0,-0.44221875,0.096817817,-0.000208333
43,0.0698616,0.359879,0,0,0,0,0,-0.573934651,0.033861695,-0.110332356
44,0.0172776,0.25897,0,0,0,0,0,-0.547628248,0.06740719,-0.203973457
45,0.0939,0.345591,0,0,0,0,0,-0.46011307,0.049458638,0.028836567
47,0,0.22325,0,0,0,0,0,-0.571345286,0.024158609,-0.323936677
48,0.0105168,0.261649,0,0,0,0,0,-0.563379101,0.044995434,-0.246217867
49,0.0060096,0.199139,0,0,0,0,0,-0.583501334,0.059986271,-0.318366463
50,0.0052584,0.195567,0,0,0,0,0,-0.61692711,0.017668085,-0.398433625
52,0,0.239324,0,0,0,0,0,-0.533628629,0.025120692,-0.269183937
54,0.0255408,0.216999,0,0,0,0,0,-0.642919412,0.007427661,-0.392951951
55.01,0.015024,0.305406,0,0,0,0,0,-0.714379894,0.021220445,-0.372729449
55.02,0.0353064,0.185744,0,0,0,0,0,-0.572420966,0.040795842,-0.310574724
56,0.052584,0.259863,0,0,0,0,0,-0.58855616,0.025324975,-0.250784185
57,0.0172776,0.16967,0,0,0,0,0,-0.664294105,0.017584484,-0.459762021
58,0.01878,0.326838,0,0,0,0,0,-0.552318463,0.035238411,-0.171462052
59,0.0022536,0.16967,0,0,0,0,0,-0.581717742,0.046609469,-0.363184673
60,0.0082632,0.21432,0,0,0,0,0,-0.621870659,0.041827368,-0.357460091
61,0.0052584,0.23218,0,0,0,0,0,-0.581470722,0.040801236,-0.303231086
62,0.1262016,0.512582,0,0,0,0,0,-0.510248579,0.056266035,0.184801056
63,0.003756,0.155382,0,0,0,0,0,-0.635875802,0.01718401,-0.459553793
64,0.022536,0.24111,0,0,0,0,0,-0.58071309,0.044070431,-0.272996659
65,0.0240384,0.21432,0,0,0,0,0,-0.519891024,0.038591882,-0.242940742
66,0.0856368,0.369702,0,0,0,0,0,-0.591868432,0.066555001,-0.069974631
67,0.003756,0.134843,0,0,0,0,0,-0.55687925,0.036021832,-0.382258418
68,0.003756,0.332196,0,0,0,0,0,-0.550354144,0.037471362,-0.176930783
69,0,0.218785,0,0,0,0,0,-0.606159266,0.031450756,-0.35592351
70,0.0067608,0.29469,0,0,0,0,0,-0.663200274,0.020190267,-0.341559207
71,0.01878,0.190209,0,0,0,0,0,-0.608221445,0.040416942,-0.358815504
72,0.0232872,0.250933,0,0,0,0,0,-0.551309076,0.041726912,-0.235361964
73,0.0097656,0.144666,0,0,0,0,0,-0.624528685,0.031036797,-0.439060288
74,0.0090144,0.243789,0,0,0,0,0,-0.586475039,0.040832249,-0.29283939
75,0.0045072,0.152703,0,0,0,0,0,-0.630596844,0.043715802,-0.429670841
76,0.041316,0.523298,0,0,0,0,0,-0.618488148,0.021432818,-0.03244133
77,0.011268,0.155382,0,0,0,0,0,-0.54599855,0.02957176,-0.349776789
79,0.0142728,0.099123,0,0,0,0,0,-0.553837673,0.042412574,-0.3980293
81,0.0368088,0.250933,0,0,0,0,0,-0.586090699,0.04548288,-0.252866018
83,0.078876,0.50901,0,0,0,0,0,-0.444324335,0.088902035,0.232463699
87,0.0270432,0.246468,0,0,0,0,0,-0.541496953,0.037765313,-0.23022044
89,0.0548376,0.293797,0,0,0,0,0,-0.573306448,0.052979984,-0.171691864
91,0.045072,0.274151,0,0,0,0,0,-0.558816736,0.034998396,-0.20459534
93,0.0623496,0.400064,0,0,0,0,0,-0.436006167,0.124077071,0.150484504
95,0.0270432,0.256291,0,0,0,0,0,-0.535210975,0.053176177,-0.198700598
97,0.0893928,0.444714,0,0,0,0,0,-0.436637527,0.096202272,0.193671545
99,0.041316,0.352735,0,0,0,0,0,-0.566133409,0.039201359,-0.13288105
101,0.0405648,0.471504,0,0,0,0,0,-0.602262196,0.056363794,-0.033829602
103,0.0120192,0.417031,0,0,0,0,0,-0.565672516,0.021167183,-0.115455133
317.03,0.0165264,0.29469,0,0,0,0,0,-0.592922014,0.03050755,-0.251198064
317.04,0.0105168,0.275044,0,0,0,0,0,-0.602099621,0.028534841,-0.28800398
